country,iso3,year,agri_raw_pct_exports,fuel_pct_exports,gdp_per_capita_usd,gdp_usd,hightech_pct_manufactured_exports,ict_goods_pct_exports,manufactures_pct_exports,merchandise_exports_usd,net_migration,ores_metals_pct_exports,remittances_pct_gdp,remittances_usd
Mongolia,MNG,2005,9.42190884305527,3.77821429287134,994.90010913241,2523471601.10421,,0.0,14.5584211829119,1065000000.0,-8924.0,39.8484073517289,7.01210601990436,176948504.051605
Mongolia,MNG,2006,10.9332638643733,4.56321775978835,1329.89179579053,3414055661.61598,,0.09,10.3663404101424,1543000000.0,-11934.0,54.7060161699379,4.54567633520099,155191920.280667
Mongolia,MNG,2007,10.8234256928031,9.01491232499679,1627.68787743359,4234999703.90059,7.70594792332361,0.04,4.89021582459124,1889000000.0,-15220.0,61.1985671211292,4.2037712502324,178029700.0
Mongolia,MNG,2008,,,2127.42678594737,5623216608.04288,,,,2539000000.0,-17277.0,,3.99407070425828,224595247.178827
Mongolia,MNG,2009,,,1703.32756790019,4583850367.88972,,,,1903000000.0,-15007.0,,4.35482570972523,199618694.316196
Mongolia,MNG,2010,,,2625.21881402433,7189481998.90094,,,,2899000000.0,-6444.0,,3.70322313329864,266242560.547641
Mongolia,MNG,2011,,,3736.04201455077,10409797377.8571,,,,4818000000.0,-505.0,,2.39815062443905,249642620.819919
Mongolia,MNG,2012,,,4328.89001905655,12292770631.565,,,,4385000000.0,351.0,,2.63436473976603,323836415.058262
Mongolia,MNG,2013,6.38347706918238,38.6504020917416,4340.14310544449,12582122604.2577,16.2910691967733,0.19,3.25960345846457,4269000000.0,1505.0,43.6262686220198,2.043651376089,257134721.743118
Mongolia,MNG,2014,5.56768146457813,25.9095084252338,4126.23975800524,12226514668.0622,19.6159698597296,0.07,2.98373887993412,5775000000.0,2921.0,57.8127429502267,2.08662757904284,255121827.019504
Mongolia,MNG,2015,6.24337117059169,20.6125684700568,3838.92126989984,11619892590.6941,4.16465439611581,0.08,1.65332847654586,4669000000.0,4307.0,61.0710138062835,2.24538022008169,260910769.826184
Mongolia,MNG,2016,5.85735272607289,26.7728424510213,3619.90026383792,11181350649.3573,16.4846204108777,0.09,4.40156580495838,4916000000.0,5633.0,45.8214514736479,2.3241947000485,259876359.186202
